Name,FileNames,FadeOutRadius,MaxVolumeRadius,MinPitch,MaxPitch,VolMin,VolMax
VoGenericFemaleDamage,audio/vo/generic/female/vo_generic_female_damage_01.mp3,5,10,98,102,25,50
,audio/vo/generic/female/vo_generic_female_damage_02.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_damage_03.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_damage_04.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_damage_05.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_damage_06.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_damage_07.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_damage_08.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_damage_09.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_damage_10.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_damage_11.mp3,,,,,25,50
VoGenericFemaleDeath,audio/vo/generic/female/vo_generic_female_death_01.mp3,5,10,98,102,25,50
,audio/vo/generic/female/vo_generic_female_death_02.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_death_03.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_death_04.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_death_05.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_death_06.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_death_07.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_death_08.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_death_09.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_death_10.mp3,,,,,25,50
,audio/vo/generic/female/vo_generic_female_death_11.mp3,,,,,25,50
VoGenericFemaleGoodbye,audio/vo/generic/female/vo_generic_female_goodbye_01.mp3,5,10,98,102,25,25
,audio/vo/generic/female/vo_generic_female_goodbye_02.mp3,,,,,25,25
,audio/vo/generic/female/vo_generic_female_goodbye_03.mp3,,,,,25,25
,audio/vo/generic/female/vo_generic_female_goodbye_04.mp3,,,,,25,25
,audio/vo/generic/female/vo_generic_female_goodbye_05.mp3,,,,,25,25
VoGenericFemaleGreetings,audio/vo/generic/female/vo_generic_female_greetings_01.mp3,5,10,98,102,25,25
,audio/vo/generic/female/vo_generic_female_greetings_02.mp3,,,,,25,25
,audio/vo/generic/female/vo_generic_female_greetings_03.mp3,,,,,25,25
,audio/vo/generic/female/vo_generic_female_greetings_04.mp3,,,,,25,25
,audio/vo/generic/female/vo_generic_female_greetings_05.mp3,,,,,25,25
,audio/vo/generic/female/vo_generic_female_greetings_06.mp3,,,,,25,25
VoGenericFemaleHostile,audio/vo/generic/female/vo_generic_female_hostile_01.mp3,5,10,98,102,25,25
,audio/vo/generic/female/vo_generic_female_hostile_02.mp3,,,,,25,25
,audio/vo/generic/female/vo_generic_female_hostile_04.mp3,,,,,25,25
,audio/vo/generic/female/vo_generic_female_hostile_05.mp3,,,,,25,25
VoGenericMaleBye,audio/vo/generic/male/vo_generic_male_bye_01.mp3,5,10,98,102,25,25
,audio/vo/generic/male/vo_generic_male_bye_02.mp3,,,,,25,25
,audio/vo/generic/male/vo_generic_male_bye_03.mp3,,,,,25,25
,audio/vo/generic/male/vo_generic_male_bye_04.mp3,,,,,25,25
,audio/vo/generic/male/vo_generic_male_bye_05.mp3,,,,,25,25
VoGenericMaleDamage,audio/vo/generic/male/vo_generic_male_damage_01.mp3,5,10,98,102,25,50
,audio/vo/generic/male/vo_generic_male_damage_02.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_damage_03.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_damage_04.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_damage_05.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_damage_06.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_damage_07.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_damage_08.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_damage_09.mp3,,,,,25,50
VoGenericMaleDeath,audio/vo/generic/male/vo_generic_male_death_01.mp3,5,10,98,102,25,50
,audio/vo/generic/male/vo_generic_male_death_02.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_death_03.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_death_04.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_death_05.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_death_06.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_death_07.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_death_08.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_death_09.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_death_10.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_death_11.mp3,,,,,25,50
,audio/vo/generic/male/vo_generic_male_death_12.mp3,,,,,25,50
VoGenericMaleGreetings,audio/vo/generic/male/vo_generic_male_greetings_02.mp3,5,10,98,102,25,25
,audio/vo/generic/male/vo_generic_male_greetings_03.mp3,,,,,25,25
,audio/vo/generic/male/vo_generic_male_greetings_04.mp3,,,,,25,25
,audio/vo/generic/male/vo_generic_male_greetings_05.mp3,,,,,25,25
,audio/vo/generic/male/vo_generic_male_greetings_06.mp3,,,,,25,25
VoGenericMaleHostile,audio/vo/generic/male/vo_generic_male_hostile_01.mp3,5,10,98,102,25,25
,audio/vo/generic/male/vo_generic_male_hostile_02.mp3,,,,,25,25
,audio/vo/generic/male/vo_generic_male_hostile_03.mp3,,,,,25,25
,audio/vo/generic/male/vo_generic_male_hostile_04.mp3,,,,,25,25
,audio/vo/generic/male/vo_generic_male_hostile_05.mp3,,,,,25,25
,audio/vo/generic/male/vo_generic_male_hostile_06.mp3,,,,,25,25
,audio/vo/generic/male/vo_generic_male_hostile_07.mp3,,,,,25,25
VoGenericMaleVendor,audio/vo/generic/male/vo_generic_male_vendor_01.mp3,5,10,98,102,25,25
,audio/vo/generic/male/vo_generic_male_vendor_02.mp3,,,,,25,25
,audio/vo/generic/male/vo_generic_male_vendor_03.mp3,,,,,25,25
VoItalianFemaleBye,audio/vo/italian/female/vo_italian_female_bye_01.mp3,5,10,98,102,25,25
,audio/vo/italian/female/vo_italian_female_bye_02.mp3,,,,,25,25
,audio/vo/italian/female/vo_italian_female_bye_03.mp3,,,,,25,25
,audio/vo/italian/female/vo_italian_female_bye_04.mp3,,,,,25,25
,audio/vo/italian/female/vo_italian_female_bye_05.mp3,,,,,25,25
VoItalianFemaleDamage,audio/vo/italian/female/vo_italian_female_damage_01.mp3,5,10,98,102,25,50
,audio/vo/italian/female/vo_italian_female_damage_02.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_damage_03.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_damage_04.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_damage_05.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_damage_06.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_damage_07.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_damage_08.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_damage_09.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_damage_10.mp3,,,,,25,50
VoItalianFemaleDeath,audio/vo/italian/female/vo_italian_female_death_01.mp3,5,10,98,102,25,50
,audio/vo/italian/female/vo_italian_female_death_02.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_death_03.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_death_04.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_death_05.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_death_06.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_death_07.mp3,,,,,25,50
,audio/vo/italian/female/vo_italian_female_death_08.mp3,,,,,25,50
